id,number,name,lat,lon
185,1,"ЦЕНТАР РЕКОРД-КОН ЗАПАД",41.99479675293,21.43000793457
186,2,"ЦЕНТАР РЕКОРД-КОН ИСТОК",41.994338989258,21.431503295898
187,3,"ГРАДСКА БОЛНИЦА",41.991653442383,21.434616088867
188,4,"ЗЕЛЕН ПАЗАР",41.991851806641,21.434158325195
189,5,"ЈУГОДРВО-КОН ЦЕНТАР",41.992385864258,21.438385009766
190,6,"ЈУГОДРВО ОЛИМПИСКИ БАЗЕН",41.992290496826,21.438840866089
191,7,"БАНКА НА РМ 2-КОН МАНУ",41.992858886719,21.443756103516
192,8,"БАНКА НА РМ 1-КОН ЈУГОДРВО",41.992450714111,21.444410324097
193,9,"ВЕРО ЏАМБО",41.993423461914,21.442260742188
194,10,"ЖЕЛЕЗНИЧКА СТАНИЦА-КОН ЦЕНТАР",41.991271972656,21.446258544922
195,11,"ЖЕЛЕЗНИЧКА СТАНИЦА-КОН АЕРОДРОМ",41.991119384766,21.445980072021
196,12,"ТЦ СКОПЈАНКА-КОН ЦЕНТАР",41.988845825195,21.450302124023
197,13,"ТЦ СКОПЈАНКА-КОН НОВО ЛИСИЧЕ",41.988739013672,21.449920654297
198,14,"АЕРОДРОМ ПАЛМА",41.98844909668,21.453750610352
199,15,"АЕРОДРОМ ТОБАКО 2",41.987930297852,21.453094482422
200,16,"ТЦ ТРИ БИСЕРИ-КОН ЦЕНТАР",41.989318847656,21.458343505859
201,17,"ТЦ ТРИ БИСЕРИ-КОН НОВО ЛИСИЧЕ",41.98893737793,21.457641601562
202,18,"МАЈЧИН ДОМ-КОН ЦЕНТАР",41.987106323242,21.463745117188
203,19,"МАЈЧИН ДОМ-КОН НОВО ЛИСИЧЕ",41.98698425293,21.46321105957
204,20,"ТЦ КАПИТОЛ",41.985168457031,21.467208862305
205,21,"ТЦ БИСЕР",41.985000610352,21.466720581055
206,22,"РУДАРСКИ ИНСТИТУТ-КОН ЦЕНТАР",41.983657836914,21.46989440918
207,23,"РУДАРСКИ ИНСТИТУТ-КОН НОВО ЛИСИЧЕ",41.9833984375,21.469619750977
208,24,"НОВО ЛИСИЧЕ ПОШТА-КОН ЦЕНТАР",41.982070922852,21.473022460938
209,25,"НОВО ЛИСИЧЕ ПОШТА-КОН Т",41.981109619141,21.474151611328
210,26,"НОВО ЛИСИЧЕ 1-КОН ЦЕНТАР",41.979827880859,21.477798461914
211,27,"НОВО ЛИСИЧЕ 1-КОН Т",41.979904174805,21.476791381836
212,28,"НОВО ЛИСИЧЕ ЗГРАДИ-КОН ЦЕНТАР",41.982791900635,21.481594085693
